position,title,artist,year
1,God's Plan,Drake,2018
2,I Like It,"Cardi B, Bad Bunny & J Balvin",2018
3,In My Feelings,Drake,2018
4,Psycho,Post Malone Featuring Ty Dolla $ign,2018
5,Nice For What,Drake,2018
6,Rockstar,Post Malone Featuring 21 Savage,2018
7,Lucid Dreams,Juice WRLD,2018
8,Better Now,Post Malone,2018
9,Look Alive,BlocBoy JB Featuring Drake,2018
10,Yes Indeed,Lil Baby & Drake,2018
11,Sad!,XXXTENTACION,2018
12,Taste,Tyga Featuring Offset,2018
13,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018
14,MotorSport,"Migos, Nicki Minaj & Cardi B",2018
15,Let You Down,NF,2018
16,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018
17,Gucci Gang,Lil Pump,2018
18,Sicko Mode,Travis Scott,2018
19,Him & I,G-Eazy & Halsey,2018
20,Walk It Talk It,Migos Featuring Drake,2018
21,Stir Fry,Migos,2018
22,Nonstop,Drake,2018
23,I Fall Apart,Post Malone,2018
24,Gummo,6ix9ine,2018
25,Ric Flair Drip,Offset & Metro Boomin,2018
26,This Is America,Childish Gambino,2018
27,Plug Walk,Rich The Kid,2018
28,Be Careful,Cardi B,2018
29,Love.,Kendrick Lamar Featuring Zacari,2018
30,Bartier Cardi,Cardi B Featuring 21 Savage,2018
31,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018
32,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018
33,I Get The Bag,Gucci Mane Featuring Migos,2018
34,Bodak Yellow (Money Moves),Cardi B,2018
35,Moonlight,XXXTENTACION,2018
36,Lemon,N*E*R*D & Rihanna,2018
37,I'm Upset,Drake,2018
38,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018
39,Drip Too Hard,Lil Baby & Gunna,2018
40,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018
41,Outside Today,YoungBoy Never Broke Again,2018
42,I Love It,Kanye West & Lil Pump,2018
43,Chun-Li,Nicki Minaj,2018
44,River,Eminem Featuring Ed Sheeran,2018
45,Powerglide,Rae Sremmurd & Juicy J,2018
46,Apes**t,The Carters,2018
47,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018
48,Mo Bamba,Sheck Wes,2018
49,Good Old Days,Macklemore Featuring Kesha,2018
50,Bank Account,21 Savage,2018
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019
2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019
3,Wow.,Post Malone,2019
4,Truth Hurts,Lizzo,2019
5,Sicko Mode,Travis Scott,2019
6,Middle Child,J. Cole,2019
7,Going Bad,Meek Mill Featuring Drake,2019
8,Ran$om,Lil Tecca,2019
9,Suge,DaBaby,2019
10,Goodbyes,Post Malone Featuring Young Thug,2019
11,ZEZE,Kodak Black Featuring Travis Scott & Offset,2019
12,Money In The Grave,Drake Featuring Rick Ross,2019
13,Drip Too Hard,Lil Baby & Gunna,2019
14,Please Me,Cardi B & Bruno Mars,2019
15,Money,Cardi B,2019
